Date, Open, High, Low, Close, Volume
12/04/15, 104.7465, 107.73, 104.11, 106.18, 21224721
12/03/15, 103.95, 106.85, 103.35, 104.38, 23236485
12/02/15, 107.00, 107.92, 105.79, 106.07, 24429063
12/01/15, 104.83, 107.15, 104.50, 107.12, 22781868
11/30/15, 105.84, 106.0999, 103.75, 104.24, 20383179
11/27/15, 105.78, 105.96, 104.86, 105.45, 5913066
11/25/15, 106.33, 106.60, 105.10, 105.41, 15150785
11/24/15, 106.00, 106.49, 104.39, 105.74, 23577293
11/23/15, 107.19, 107.468, 106.08, 106.95, 19897220
11/20/15, 106.84, 107.87, 106.62, 107.32, 22129648
11/19/15, 107.36, 107.73, 105.95, 106.26, 25520599
11/18/15, 105.80, 107.88, 105.39, 107.77, 23836526
11/17/15, 104.62, 106.20, 104.14, 105.13, 26807230
11/16/15, 102.06, 104.17, 100.47, 104.04, 49309167
11/13/15, 107.71, 108.25, 103.83, 103.95, 30278403
11/12/15, 108.48, 109.39, 108.00, 108.02, 20924674
11/11/15, 108.27, 109.87, 107.11, 109.01, 25057099
11/10/15, 106.17, 108.15, 105.24, 107.91, 25031681
11/09/15, 107.00, 108.25, 105.86, 106.49, 26383540
11/06/15, 108.04, 108.74, 105.91, 107.095, 35084342
11/05/15, 108.80, 110.65, 107.95, 108.76, 63232861
11/04/15, 103.19, 104.14, 102.48, 103.94, 43469308
11/03/15, 103.22, 103.65, 102.40, 102.58, 21242341
11/02/15, 101.715, 103.47, 101.18, 103.31, 24003944
10/30/15, 104.40, 104.72, 101.65, 101.97, 33487104
10/29/15, 103.96, 105.12, 103.52, 104.88, 20316691
10/28/15, 103.90, 104.48, 102.92, 104.20, 24081515
10/27/15, 102.94, 104.10, 102.40, 103.70, 23795472
10/26/15, 103.585, 103.81, 101.55, 103.77, 25961212
10/23/15, 101.91, 102.85, 100.16, 102.19, 42809661
10/22/15, 97.79, 99.73, 97.55, 99.67, 26392075
10/21/15, 97.37, 98.18, 96.47, 97.11, 22003730
10/20/15, 98.73, 99.59, 96.56, 97.00, 30881777
10/19/15, 97.18, 98.57, 96.92, 98.47, 23729924
10/16/15, 96.18, 97.59, 95.35, 97.54, 25412856
10/15/15, 94.99, 96.30, 94.90, 95.96, 27557516
10/14/15, 94.08, 95.20, 93.61, 94.07, 19253351
10/13/15, 93.66, 95.37, 93.55, 94.12, 19480347
10/12/15, 93.32, 94.60, 92.67, 94.26, 18449562
10/09/15, 92.90, 93.74, 92.239, 93.24, 20012911
10/08/15, 92.75, 93.22, 90.47, 92.47, 27290523
