,Date, Open, High, Low, Close, Volume
1254,2013-04-19,55.4243,57.0857,55.0143,55.79,152318201
1255,2013-04-18,57.8557,57.97,55.6774,56.0071,166574163
1256,2013-04-17,60.0386,60.0857,56.8729,57.5429,236263461
1257,2013-04-16,60.2243,60.9443,60.0814,60.8914,76442758
1258,2013-04-15,61.0,61.1271,59.9357,59.9786,79379706
1259,2013-04-12,62.0214,62.0214,61.2986,61.4,59681279
1260,2013-04-11,61.96,62.57,61.6,62.0471,82154093
1261,2013-04-10,61.1571,62.4371,60.8586,62.2414,93981748
1262,2013-04-09,60.9086,61.2143,60.3929,60.9971,76688115
1263,2013-04-08,60.6929,61.0714,60.3557,60.8871,75264742
1264,2013-04-05,60.6429,60.7071,59.9543,60.4571,95923478
1265,2013-04-04,61.9657,62.1429,60.75,61.1029,89664638
1266,2013-04-03,61.6243,62.4686,61.4729,61.7129,90803727
1267,2013-04-02,61.0857,62.5914,60.9143,61.3989,132443234
1268,2013-04-01,63.1286,63.3854,61.1057,61.2729,97432489
1269,2013-03-28,64.26,64.5456,63.0886,63.2371,110745586
1270,2013-03-27,65.2086,65.2571,64.39,64.5829,82852294
1271,2013-03-26,66.4914,66.5486,65.79,65.8766,73573423
1272,2013-03-25,66.3843,67.1357,65.9686,66.2257,125283438
1273,2013-03-22,64.94,66.0143,64.73,65.9871,98776111
1274,2013-03-21,64.3171,65.4257,64.3,64.6757,95813410
1275,2013-03-20,65.3457,65.3757,64.2271,64.5829,77165158
1276,2013-03-19,65.6429,65.8529,64.0714,64.9271,131693310
1277,2013-03-18,63.0643,65.3514,63.0286,65.1029,151549090
1278,2013-03-15,62.5614,63.4614,62.4643,63.38,160989787
1279,2013-03-14,61.8329,62.0914,61.4929,61.7857,75968746
1280,2013-03-13,61.2071,62.0714,60.7657,61.1929,101454192
1281,2013-03-12,62.2286,62.6971,61.0814,61.2043,116477473
1282,2013-03-11,61.3928,62.7157,60.7343,62.5529,118558356
1283,2013-03-08,61.4,62.2043,61.23,61.6743,97898983
1284,2013-03-07,60.6429,61.7157,60.1514,61.5117,117117826
1285,2013-03-06,62.0729,62.1786,60.6329,60.8089,115062269
1286,2013-03-05,60.2114,62.17,60.1071,61.592,159607042
1287,2013-03-04,61.1143,61.1714,59.8571,60.0071,145684399
1288,2013-03-01,62.5714,62.5971,61.4257,61.4957,138111792
1289,2013-02-28,63.4357,63.9814,63.0571,63.0571,80628737
1290,2013-02-27,64.0614,64.6343,62.95,63.51,146836928
1291,2013-02-26,63.4029,64.5057,62.5229,64.1386,125374074
1292,2013-02-25,64.8357,65.0171,63.2243,63.2571,93144464
1293,2013-02-22,64.1786,64.5143,63.8,64.4014,82663644
1294,2013-02-21,63.7143,64.1671,63.26,63.7229,111795180
1295,2013-02-20,65.3843,65.3843,64.1143,64.1214,119074886
1296,2013-02-19,65.8714,66.1043,64.8357,65.7129,108944213
1297,2013-02-15,66.9786,67.1657,65.7029,65.7371,97981177
1298,2013-02-14,66.36,67.3771,66.2886,66.6557,88876501
1299,2013-02-13,66.7443,67.6629,66.1743,66.7157,118801221
1300,2013-02-12,68.5014,68.9114,66.8206,66.8429,152262712
1301,2013-02-11,68.0714,69.2771,67.6071,68.5614,129358516
1302,2013-02-08,67.7143,68.4014,66.8929,67.8543,158288984
1303,2013-02-07,66.1786,67.1429,64.8743,66.8886,176145074
1304,2013-02-06,65.21,66.6429,64.6543,65.3357,148426012
1305,2013-02-05,63.4357,65.6771,63.1743,65.4063,143336536
1306,2013-02-04,64.8443,65.1343,63.1429,63.188,119278754
